Product Name,Description,Price,Currency,Reference_number,URL
Montre Panthère De Cartier PM,"Petit modèle, quartz, or jaune, diamants""}",30800.0,EUR,CRWJPN0057,https://www.cartier.com/fr-fr/montre-panthere-de-cartier-pm_cod1647597342064207.html#dept=EU_Panthere-de-Cartier-Watches
Montre Panthère De Cartier PM,"Petit modèle, quartz, or rose, diamants""}",30800.0,EUR,CRWJPN0058,https://www.cartier.com/fr-fr/montre-panthere-de-cartier-pm_cod1647597342064210.html#dept=EU_Panthere-de-Cartier-Watches
Montre Panthère De Cartier PM,"Petit modèle, mouvement quartz, or jaune, diamants""}",30000.0,EUR,CRWJPN0053,https://www.cartier.com/fr-fr/montre-panthere-de-cartier-pm_cod1647597335738336.html#dept=EU_Panthere-de-Cartier-Watches
Montre Panthère de Cartier,"Mini modèle, mouvement quartz, or gris""}",35400.0,EUR,CRWJPN0046,https://www.cartier.com/fr-fr/montre-panthere-de-cartier_cod1647597306259407.html#dept=EU_Panthere-de-Cartier-Watches
Montre Panthère De Cartier PM,"Petit modèle, mouvement quartz, or jaune""}",25200.0,EUR,CRWGPN0031,https://www.cartier.com/fr-fr/montre-panthere-de-cartier-pm_cod1647597277638149.html#dept=EU_Panthere-de-Cartier-Watches
Montre Panthère de Cartier,"Mini modèle, mouvement quartz, acier""}",4000.0,EUR,CRWSPN0012,https://www.cartier.com/fr-fr/montre-panthere-de-cartier_cod1647597338026628.html#dept=EU_Panthere-de-Cartier-Watches
Montre Panthère De Cartier PM,"Petit modèle, mouvement quartz, acier""}",4700.0,EUR,CRWSPN0013,https://www.cartier.com/fr-fr/montre-panthere-de-cartier-pm_cod1647597338026629.html#dept=EU_Panthere-de-Cartier-Watches
Montre Panthère de Cartier,"Moyen modèle, mouvement quartz, acier""}",5600.0,EUR,CRWSPN0015,https://www.cartier.com/fr-fr/montre-panthere-de-cartier_cod1647597348582079.html#dept=EU_Panthere-de-Cartier-Watches
Montre Panthère de Cartier,"Grand modèle, quartz, acier""}",6150.0,EUR,CRWSPN0016,https://www.cartier.com/fr-fr/montre-panthere-de-cartier_cod1647597348582082.html#dept=EU_Panthere-de-Cartier-Watches
Montre Panthère De Cartier PM,"Petit modèle, mouvement quartz, or jaune, acier""}",9000.0,EUR,CRW2PN0013,https://www.cartier.com/fr-fr/montre-panthere-de-cartier-pm_cod1647597329508329.html#dept=EU_Panthere-de-Cartier-Watches
Montre Panthère de Cartier,"Moyen modèle, mouvement quartz, or jaune, acier""}",10200.0,EUR,CRW2PN0014,https://www.cartier.com/fr-fr/montre-panthere-de-cartier_cod1647597348576450.html#dept=EU_Panthere-de-Cartier-Watches
Montre Panthère de Cartier,"Moyen modèle, mouvement quartz, acier, diamants""}",10500.0,EUR,CRW4PN0018,https://www.cartier.com/fr-fr/montre-panthere-de-cartier_cod1647597348576466.html#dept=EU_Panthere-de-Cartier-Watches
Montre Panthère de Cartier,"Grand modèle, quartz, or jaune, acier""}",11100.0,EUR,CRW2PN0016,https://www.cartier.com/fr-fr/montre-panthere-de-cartier_cod1647597349846716.html#dept=EU_Panthere-de-Cartier-Watches
Montre Panthère De Cartier PM,"Petit modèle, mouvement quartz, or rose, acier, diamants""}",13600.0,EUR,CRW3PN0009,https://www.cartier.com/fr-fr/montre-panthere-de-cartier-pm_cod1647597329508332.html#dept=EU_Panthere-de-Cartier-Watches
Montre Panthère de Cartier,"Moyen modèle, mouvement quartz, or rose, acier, diamants""}",15200.0,EUR,CRW3PN0010,https://www.cartier.com/fr-fr/montre-panthere-de-cartier_cod1647597348576465.html#dept=EU_Panthere-de-Cartier-Watches
Montre Panthère de Cartier,"Mini modèle, mouvement quartz, or jaune""}",22700.0,EUR,CRWGPN0048,https://www.cartier.com/fr-fr/montre-panthere-de-cartier_cod1647597349846857.html#dept=EU_Panthere-de-Cartier-Watches
Montre Panthère De Cartier PM,"Petit modèle, mouvement quartz, or rose""}",25000.0,EUR,CRWGPN0049,https://www.cartier.com/fr-fr/montre-panthere-de-cartier-pm_cod1647597348583066.html#dept=EU_Panthere-de-Cartier-Watches
Montre Panthère De Cartier PM,"Petit modèle, mouvement quartz, or jaune""}",25000.0,EUR,CRWGPN0047,https://www.cartier.com/fr-fr/montre-panthere-de-cartier-pm_cod1647597348583063.html#dept=EU_Panthere-de-Cartier-Watches
Montre Panthère de Cartier,"Moyen modèle, mouvement quartz, or jaune""}",28700.0,EUR,CRWGPN0045,https://www.cartier.com/fr-fr/montre-panthere-de-cartier_cod1647597348583057.html#dept=EU_Panthere-de-Cartier-Watches
Montre Panthère De Cartier PM,"Petit modèle, mouvement quartz, or jaune, diamants""}",29800.0,EUR,CRWJPN0067,https://www.cartier.com/fr-fr/montre-panthere-de-cartier-pm_cod1647597348582061.html#dept=EU_Panthere-de-Cartier-Watches
Montre Panthère De Cartier PM,"Petit modèle, quartz, or jaune, diamants""}",31200.0,EUR,CRWJPN0080,https://www.cartier.com/fr-fr/montre-panthere-de-cartier-pm_cod1647597349846887.html#dept=EU_Panthere-de-Cartier-Watches
Montre Panthère de Cartier,"Moyen modèle, mouvement quartz, or rose, diamants""}",34800.0,EUR,CRWJPN0072,https://www.cartier.com/fr-fr/montre-panthere-de-cartier_cod1647597349846882.html#dept=EU_Panthere-de-Cartier-Watches
Montre Panthère de Cartier,"Moyen modèle, mouvement quartz, or jaune, diamants""}",34800.0,EUR,CRWJPN0066,https://www.cartier.com/fr-fr/montre-panthere-de-cartier_cod1647597348584330.html#dept=EU_Panthere-de-Cartier-Watches
